OBJECTID,RSPB_Reference,County,Incident_Type,Month,Year,Grid_Square,Details,More_Info_Here,Country,GlobalID,SHAPE_Length,SHAPE_Area
7309,100597,DUMFRIES AND GALLOWAY,Shooting,June,2019,NS81,Species involved: Hen Harrier x 1.,https://www.bbc.co.uk/news/uk-scotland-south-scotland-50712476,SCOTLAND,{47329905-A408-43CE-A33D-6D20EEDA123B},70400.2644867051,309761763.93521
7310,96822,SOUTH LANARKSHIRE,Poisoning,February,2014,NS92,Species involved: Peregrine falcon x 1. Tested positive for: Carbofuran.,No Link,SCOTLAND,{1B62A644-A709-4A37-80DA-6CDAAE109BE2},70566.0024420345,311221979.784906
7311,89354,SCOTTISH BORDERS,Poisoning,April,2007,NT64,"Species involved: Buzzard x 3; poison bait (hare) x 5, poison bait (rabbit) x 5. Tested positive for: Carbofuran.",No Link,SCOTLAND,{5F491BC1-42FE-4ADB-B372-298550F0F93D},70915.2206766371,314309968.051626
7312,91731,CUMBRIA,Shooting,August,2009,NY35,Species involved: Buzzard x 1.,No Link,ENGLAND,{E082916D-98C9-4BBD-8D9B-B841666AF0E0},69483.1211585261,301743447.775213
7313,99385,EAST RIDING OF YORKSHIRE,Shooting,October,2017,TA22,Species involved: Sparrowhawk x 1.,https://raptorpersecutionscotland.wordpress.com/2017/10/25/police-appeal-for-info-after-sparrowhawk-found-shot-dead-in-east-yorkshire/,ENGLAND,{056CC22C-F6B8-4EE2-856E-3A48A3294A3D},67521.0622019814,284942807.038977
7314,92365,EAST AYRSHIRE,Poisoning,April,2009,NS53,"Species involved: Buzzard x 1, poison bait (pigeon) x 1. Tested positive for: Carbofuran.",No Link,SCOTLAND,{ADED24EB-ACF7-4D8C-ABCA-39B5EDFBC562},70699.6407036499,312401884.480049
7315,99389,LINCOLNSHIRE,Poisoning,May,2017,TF27,Species involved: Red kite x 1. Tested positive for: Alphachloralose.,No Link,ENGLAND,{FB902123-ED50-491C-A064-402A8255F175},66813.3031902353,279000534.63797
7316,99606,WORCESTERSHIRE,Shooting,October,2017,SO66,Species involved: Buzzard x 1.,No Link,ENGLAND,{7F7A1A91-8256-4FC1-9ADE-755254C0557C},65351.9279623244,266929096.385442
7317,103320,BEDFORDSHIRE,Poisoning,January,2021,SP92,Species targeted: Birds of prey. Species involved: Dog x 1. Tested positive for: Strychnine.,https://www.bedfordshirelive.co.uk/news/bedfordshire-news/dog-dies-owners-arms-after-4984919,ENGLAND,{DA730D92-2292-4BA4-A526-09AE49D517DF},64813.5608822672,262549293.685366
7318,94929,STAFFORDSHIRE,Nest Destruction,May,2012,SJ90,Species involved: Peregrine falcon nest.,https://www.bbc.co.uk/news/uk-england-stoke-staffordshire-18423185,ENGLAND,{BE7A487F-CAE5-4DB6-A7BF-C3E3E15F677E},65887.8454758907,271324953.296576
7319,97539,NORTH YORKSHIRE,Poisoning,February,2015,SE26,"Species involved: Buzzard x 1. Tested positive for: Bendiocarb, carbofuran, isofenphos, aldicarb.",No Link,ENGLAND,{F86F2D7E-D9CB-4180-B527-2A12D8AE3FF1},68137.481507743,290169216.689021
