OBJECTID,RSPB_Reference,County,Incident_Type,Month,Year,Grid_Square,Details,More_Info_Here,Country,GlobalID,SHAPE_Length,SHAPE_Area
7349,88399,HIGHLAND,Poisoning,June,2007,NJ02,"Species involved: Buzzard x 1; poison bait (rabbit) x 3; poison bait (hare) x 2. Tested positive for: Carbofuran.",No Link,SCOTLAND,{FEB4B39D-E244-4F50-A5FD-DEAD86174001},73968.6072722126,341959095.678979
7350,88419,NORTH YORKSHIRE,Illegal Trapping (Other),May,2007,SE59,Species targeted: Birds of prey.,No Link,ENGLAND,{0A1CCBC0-05C7-4987-AB2E-CBC05AACF15C},68575.7797723716,293914290.045743
7351,100513,NORTH YORKSHIRE,Shooting,March,2019,NZ10,Species involved: Buzzard x 1.,No Link,ENGLAND,{D2DC4D45-DF3B-416A-8F61-5137C8F21B6B},68732.3832340765,295258223.338669
7352,90413,ANGUS,Poisoning,October,2008,NO46,Species targeted: Birds of prey. Species involved: Poison bait (meat) x 1. Tested positive for: Carbofuran.,No Link,SCOTLAND,{139F7AFD-EA19-4977-BF11-952B0B0F470C},72925.801468031,332385207.065319
7353,94537,ISLE OF WIGHT,Shooting,November,2011,SZ58,Species involved: Buzzard x 1.,No Link,ENGLAND,{BCAD26EA-9AB0-45C7-870B-4C0F34E27900},63082.0204243345,248708263.955216
7354,90074,COUNTY DURHAM,Shooting,July,2008,NZ25,Species involved: Kestrel x 1.,No Link,ENGLAND,{059E1604-7F00-4159-8FDB-2F6C17FBB09D},69492.4252302721,301824262.910446
7355,98735,GLOUCESTERSHIRE,Illegal Trapping (Other),August,2016,SP02,Species targeted: Birds of prey.,No Link,ENGLAND,{8E0F232B-480E-4B54-9976-13A4DD80B508},64832.292585475,262701074.73961
7356,102306,NORTH YORKSHIRE,Poisoning,March,2021,SE17,"Species involved: Red kite x 1. Tested positive for: Bendiocarb, carbofuran, isofenphos.",No Link,ENGLAND,{64A4944C-58C2-485C-9228-3002DF493F1D},68285.7116070692,291433093.022158
7357,94264,CARMARTHENSHIRE,Poisoning,June,2011,SN53,Species involved: Red kite x 2. Tested positive for: Fenthion.,No Link,WALES,{9A93C9E5-F1F9-42F0-9817-4F6CA7260B3B},64917.7032508602,263393700.838972
7358,88402,NORTH YORKSHIRE,Illegal Trapping (Other),May,2007,NZ40,Species targeted: Birds of prey.,No Link,ENGLAND,{1D31D069-C340-4F48-9301-0BB695A0FA4B},68727.9239052483,295219911.929004
7359,100415,SCOTTISH BORDERS,Shooting,January,2019,NT76,Species involved: Goshawk x 1.,https://www.bbc.co.uk/news/uk-scotland-south-scotland-48067517,SCOTLAND,{D61A8452-5084-45E8-94C2-B3AB33F4371E},71243.3461970551,317225332.532625
7360,101168,NORTH YORKSHIRE,Illegal Trapping (Other),May,2020,SE89,Species involved: Goshawk x 1.,https://tinyurl.com/bpy582jm,ENGLAND,{63BF4A2C-E9DB-46FD-A726-E850D20B0375},68565.4245767836,293825532.030571
7361,101630,POWYS,Shooting,July,2020,SN85,Species involved: Golden eagle x 1. ,https://raptorpersecutionscotland.wordpress.com/2020/12/14/post-mortem-reveals-welsh-golden-eagle-had-suffered-gunshot-injury/,WALES,{2EBC1586-83C2-4DD8-BC59-38DFBB697439},65194.8384816331,265647375.079423
7362,96846,ANTRIM,Illegal Trapping (Other),November,2014,J36,Species involved: Sparrowhawk x 1.,No Link,NORTHERN IRELAND,{85395DEC-6CFD-4231-8DCA-065A62F392AB},68815.1971651223,295970151.000798
7363,88404,NORTH YORKSHIRE,Illegal Trapping (Other),May,2007,SE59,Species targeted: Birds of prey.,No Link,ENGLAND,{20A401FC-A5FD-459A-B0C7-4EBFBE1C6841},68575.7797723716,293914290.045743
7364,91341,DERBYSHIRE,Poisoning,January,2008,SK17,Species targeted: Birds of prey. Species involved: Dog x 2. Tested positive for: Strychnine. Possession of: Strychnine.,No Link,ENGLAND,{EE9ABB89-5E37-4A97-91B6-E4F22B6516E0},66848.4544399521,279294184.241443
7365,95724,HEREFORDSHIRE,Illegal Pole/Spring Trapping,January,2013,SO47,Species targeted: Birds of prey.,No Link,ENGLAND,{C60FA421-AFDC-41F6-953A-5BA4BFE78176},65480.3123838337,267978897.896879
7366,94823,ABERDEENSHIRE,Shooting,May,2011,NJ31,Species involved: Short-eared owl x 1.,No Link,SCOTLAND,{0EECE18A-27E0-4192-9381-E53775FF3A3B},73804.0360437873,340439151.953116
7367,89890,SOUTH LANARKSHIRE,Illegal Trapping (Other),March,2008,NT03,Species involved: Buzzard x 1.,No Link,SCOTLAND,{2296A6E3-D3B0-41B4-AD65-9FE5A461D84B},70732.1835802823,312689547.623811
7368,90471,LEICESTERSHIRE,Shooting,November,2008,SP69,Species involved: Buzzard x 1.,No Link,ENGLAND,{C353BFD9-F8A9-4A8A-8EE0-E30FF7F08B13},65744.344312172,270144367.022017
7369,100464,SCOTTISH BORDERS,Shooting,May,2017,NT75,Species involved: Peregrine x 1.,https://www.independent.co.uk/environment/gamekeeper-killed-buzzards-badger-otter-longformacus-estate-a9017051.html,SCOTLAND,{9AB26880-1584-49A8-985C-0F23737EFB86},71079.6427004586,315769160.073289
7370,101302,WORCESTERSHIRE,Shooting,May,2019,SO66,Species involved: Red kite x 1.,No Link,ENGLAND,{93BFD02B-9B5F-40AF-9186-43503E12747E},65351.9279623244,266929096.385442
7371,96949,SOMERSET & AVON,Shooting,December,2014,ST11,Species involved: Buzzard x 1.,No Link,ENGLAND,{42E6DA2A-A734-42B9-99EC-8F449187DD8C},63436.9403843704,251514771.935412
7372,91868,ARGYLL AND BUTE,Poisoning,June,2009,NN23,Species targeted: Birds of prey. Species involved: Fox x 1. Tested positive for: Carbofuran,No Link,SCOTLAND,{257842B2-6584-4145-BD80-3C7977060945},72328.5900974439,326963485.182437
7373,97663,SOUTH YORKSHIRE,Shooting,May,2015,SK28,Species involved: Buzzard x 1.,No Link,ENGLAND,{13B50D31-B828-4F8E-A980-351EFA095FEA},66987.7922051015,280459711.988286
7374,99423,CAMBRIDGESHIRE,Shooting,June,2014,TL56,Species involved: Peregrine falcon x 1.,No Link,ENGLAND,{B495F78D-4822-4A89-B981-5A9F6D4510B3},65303.332147879,266532263.749278
7375,93904,SWANSEA CITY,Poisoning,September,2010,SS48,"Species involved: Goshawk x 1. Tested positive for: Benfuracarb, carbofuran, carbosulfan.",No Link,WALES,{354BD1AD-1DD0-49EF-8DA6-5EFA169A0E62},64271.9524940015,258179678.817174
7376,88942,WEST YORKSHIRE,Poisoning,February,2007,SE14,"Species targeted: Birds of prey. Species involved: Dog x 2; poison bait (bird) x 1. Tested positive for: Strychnine.",No Link,ENGLAND,{BC6A0A00-08B1-473D-B311-DB45E4F98937},67846.3135890233,287694584.548233
7377,95326,POWYS,Poisoning,May,2012,SN94,Species involved: Red kite x 1. Tested positive for: Fenthion.,No Link,WALES,{3A4E2CB5-A4C4-4A06-86CC-9EF8C54D2A75},65068.7585802304,264620898.556409
7378,99592,NORTH YORKSHIRE,Illegal Pole/Spring Trapping,February,2018,SE87,Species involved: Barn owl x 1.,https://raptorpersecutionscotland.wordpress.com/2018/02/06/barn-owl-with-horrific-injuries-found-in-north-yorkshire/ ,ENGLAND,{617ED5F0-205A-4753-9288-6A20DA94CDFA},68268.6848237294,291287774.939058
7379,96887,DOWN,Shooting,December,2013,J44,Species involved: Merlin x 1.,No Link,NORTHERN IRELAND,{B2588C77-B0DF-470B-AC55-709530B95FC1},68508.8276201181,293340657.635386
7380,91217,WEST MIDLANDS,Poisoning,February,2009,SJ90,Species targeted: Peregrine falcon. Species involved: Poison bait (pigeon) x 1. Tested positive for: Aldicarb.,No Link,ENGLAND,{27B26FB3-0C68-453A-AA80-C68E368CAA72},65887.8454758907,271324953.296576
7381,93784,WEST MIDLANDS,Shooting,March,2010,SO99,Species involved: Sparrowhawk x 1.,No Link,ENGLAND,{A79F8EF6-9D7C-4FB8-904F-CBD1FD71E5D9},65753.4516212825,270219216.737375
7382,88299,STIRLING,Poisoning,May,2007,NS78,"Species involved: Peregrine falcon x 1; poison bait (pigeon) x 1. Tested positive for: Malathion.",No Link,SCOTLAND,{FEF304F4-6D00-4FDB-9040-F2667A2DAB11},71531.401122836,319795765.6388
7383,95644,PERTH AND KINROSS,Illegal Pole/Spring Trapping,January,2012,NN82,Species involved: Buzzard x 1.,No Link,SCOTLAND,{265D5E1C-812B-42C1-BE0D-8EDE19767205},72208.9982011072,325883141.927586
7384,95463,ABERDEENSHIRE,Illegal Trapping (Other),August,2012,NJ41,Species involved: Goshawk x 1.,https://www.bbc.co.uk/news/uk-scotland-north-east-orkney-shetland-30777299,SCOTLAND,{53FA1507-BA82-42E0-A402-3264A2B14E85},73807.7388960392,340473313.558424
7385,93936,ARMAGH,Poisoning,April,2010,H94,"Species involved: Buzzard x 2; poison bait (meat) x 1. Tested positive for: Carbofuran.",No Link,NORTHERN IRELAND,{05ABF432-FE53-44D2-8E4A-04D416D6FB16},68538.3967600827,293593931.43367
7386,99290,LINCOLNSHIRE,Poisoning,March,2017,TF56,Species involved: Buzzard x 1. Tested positive for: Aldicarb.,No Link,ENGLAND,{827261EB-5DC2-4D6E-80DD-BC81E9415EC3},66654.9711179158,277679764.744036
7387,99448,HIGHLAND,Nest Destruction,April,2017,NH73,Species involved: Goshawk nest.,https://www.pressandjournal.co.uk/fp/news/highlands/1374310/masked-gunmen-caught-on-cctv-in-public-forest-underneath-goshawk-nest/,SCOTLAND,{3872782C-DE9E-4DE2-B177-4D083EB059CC},74128.4084733838,343438223.981425
7388,100687,NORTH YORKSHIRE,Shooting,October,2019,SE53,Species involved: Buzzard x 1.,https://raptorpersecutionscotland.wordpress.com/2019/10/11/buzzard-shot-dead-in-north-yorkshire-2/,ENGLAND,{E65D855F-F280-4599-982A-7BD62A7072C7},67694.8043126458,286411100.914674
7389,94062,HIGHLAND,Poisoning,May,2011,NH72,"Species involved: Red kite x 1. Tested positive for: Bendiocarb, carbofuran.",No Link,SCOTLAND,{DAA87AC6-D8EB-4857-9DA3-31769770946C},73948.1284509216,341769772.778422
7390,100230,DUMFRIES AND GALLOWAY,Poisoning,January,2018,NX77,Species involved: Red kite x 1. Tested positive for: Withheld.,https://raptorpersecutionscotland.wordpress.com/2018/04/05/red-kite-suspected-poisoned-in-south-scotland/,SCOTLAND,{D0D4E592-BD35-4668-B6EC-1924F36733DC},69763.6630354616,304184980.850092
7391,103577,NORTH YORKSHIRE,Poisoning,November,2021,SE17,"Species involved: Red kite x 1. Tested positive for: Bendiocarb, carbofuran, isofenphos.",No Link,ENGLAND,{0C798900-30A0-4394-A4F0-A23B83ECE911},68285.7116070692,291433093.022158
7392,102252,HIGHLAND,Shooting,July,2021,NH63,Species involved: Goshawk x 1.,https://raptorpersecutionuk.org/2021/07/23/goshawk-found-shot-dead-in-notorious-persecution-hotspot-in-scotland/,SCOTLAND,{3DE3889F-4D4C-4B79-BC31-BF2BAD70F6B9},74120.2872558471,343362976.33845
7393,92933,NORFOLK,Illegal Pole/Spring Trapping,Unknown,2009,TF72,Species targeted: Birds of prey.,No Link,ENGLAND,{7E103459-0024-4D55-B50D-CF8D1CDCDBB6},66091.1013283569,273001545.047523
7394,101947,WILTSHIRE,PersecutionOther,September,2020,SU06,Species involved: Red kite x 1. ,https://community.rspb.org.uk/ourwork/b/investigations/posts/community-order-for-gamekeeper-after-birds-of-prey-found-down-wiltshire-well,ENGLAND,{325FA269-916C-4096-807B-6A0DD412E689},64069.143370925,256552882.879002
7395,97466,DUMFRIES AND GALLOWAY,Shooting,April,2014,NX98,Species involved: Buzzard x 1.,https://www.dng24.co.uk/gamekeepe-guilty-of-buzzard-death/,SCOTLAND,{4D46EF9E-AF80-4B24-8753-D57C5AEDD27C},69931.9499968126,305654290.065642
7396,90735,NORFOLK,PersecutionOther,Unknown,2008,TF92,Species targeted: Birds of prey. Possession of: Alphachloralose.,No Link,ENGLAND,{6C168130-9A05-421F-9E65-DE1DA979176B},66074.7481374793,272866461.238827
7397,91013,HIGHLAND,PersecutionOther,November,2008,NJ12,Species targeted: Birds of prey. Possession of: Carbofuran.,No Link,SCOTLAND,{BA2A39E4-F2C4-4920-ACFA-DBC58E675FD1},73974.196481125,342010775.982236
7398,102316,NORTH YORKSHIRE,Poisoning,March,2021,SE16,"Species involved: Red kite x 1. Tested positive for: Bendiocarb, alphachloralose, brodifacoum, carbofuran, isofenphos. ",No Link,ENGLAND,{35023450-B47C-4350-A91F-C3E10C9E3316},68138.4452342393,290177425.01283
7399,93525,NORTH YORKSHIRE,Shooting,October,2009,NZ50,Species involved: Goshawk x 1.,No Link,ENGLAND,{E80FF21C-2398-4300-B055-9A59EF644275},68725.4433938537,295198602.200852
7400,96829,NORTH YORKSHIRE,Shooting,October,2014,SE66,Species involved: Buzzard x 1.,No Link,ENGLAND,{F8C5E8F1-F5D9-4C0F-A348-1C863DF1A172},68128.7828559738,290095133.156667
7401,97654,DERBYSHIRE,Illegal Pole/Spring Trapping,September,2015,SK09,Species involved: Osprey x 1.,https://raptorpersecutionscotland.wordpress.com/2016/02/03/more-raptors-illegally-killed-in-peak-district-national-park-police-appeal-5-months-later/,ENGLAND,{89A65D61-7E2A-4342-BC07-9D00B7B21639},67130.1763414145,281653229.006091
7402,98113,SCOTTISH BORDERS,Poisoning,October,2015,NT35,Species involved: Buzzard x 1. Tested positive for: Carbofuran.,No Link,SCOTLAND,{1D6F8E34-5807-490B-AB11-2B9779434351},71069.7170642552,315680977.173707
7403,93557,TYRONE,Poisoning,November,2010,H17,"Species involved: Golden eagle x 1, raven x 1. Tested positive for: Carbofuran.",No Link,NORTHERN IRELAND,{51FD537D-D49E-4EBE-B7DF-6E00BB63CEF8},69011.426063885,297660499.754809
7404,93608,SOUTH LANARKSHIRE,Shooting,October,2010,NS81,Species involved: Short-eared owl x 1.,No Link,SCOTLAND,{F137AFF9-EAA4-492E-B212-0DD5652504DA},70400.2644867051,309761763.93521
7405,96308,POWYS,Poisoning,October,2013,SO11,Species targeted: Birds of prey. Species involved: Raven x 1. Tested positive for: Bendiocarb.,https://ww2.rspb.org.uk/community/ourwork/b/investigations/archive/2016/03/10/trouble-in-the-valleys.aspx,WALES,{F54CC28A-7523-46B8-8936-C3440D587689},64688.4653854376,261536785.905833
7406,94388,LINCOLNSHIRE,Poisoning,September,2011,SK89,"Species involved: Buzzard x 2; poison bait (pheasant) x 1. Tested positive for: Carbofuran.",No Link,ENGLAND,{EBC01A65-4B4A-4825-A355-758179FB9D1E},67113.5421275526,281513663.622649
7407,94794,MIDLOTHIAN,Shooting,July,2011,NT23,Species involved: Goshawk x 2.,No Link,SCOTLAND,{7F1DFC94-355E-4611-A39A-EDED5759A38E},70741.41448567,312771168.423577
7408,92373,ARGYLL AND BUTE,PersecutionOther,June,2009,NN33,"Species targeted: Birds of prey. Possession of: Carbofuran, methiocarb.",No Link,SCOTLAND,{F0B4CD4F-842D-46BE-9C05-93BD91755954},72338.4579338799,327052707.30838
7409,91618,MORAY,Illegal Trapping (Other),June,2009,NJ11,Species targeted: Birds of prey. ,No Link,SCOTLAND,{E87EC1C4-79A1-4594-BCFA-7B803F23FA37},73794.7837967524,340353800.486229
7410,100492,DUMFRIES AND GALLOWAY,Poisoning,May,2019,NX75,Species involved: Red kite x 1. Tested positive for: Withheld banned pesticide.,https://raptorpersecutionscotland.wordpress.com/2019/06/13/two-red-kites-poisoned-in-south-scotland-tests-awaited-on-third/,SCOTLAND,{21969158-44F7-4BF8-8D1F-0F0007CC9FEB},69453.8099336224,301488921.327886
7411,102642,DUMFRIES AND GALLOWAY,Poisoning,January,2020,NX86,"Species involved: Buzzard x 1; Rook x 10. Tested positive for: Withheld.",https://www.heraldscotland.com/news/18371138.man-charged-deaths-birds-prey-dumfries-galloway/,SCOTLAND,{53B87E2D-82B9-4B80-A786-16FD6F4FD297},69614.5134250866,302885718.893692
7412,99306,SOUTH YORKSHIRE,Shooting,August,2017,SE30,Species involved: Buzzard x 1.,https://www.rspb.org.uk/about-the-rspb/about-us/media-centre/press-releases/buzzard-shot-in-barnsley-sparks-investigation/,ENGLAND,{CB8737FC-ED7D-4E09-8844-965EDE6AE523},67269.1693973045,282820764.923192
7413,96445,WEST YORKSHIRE,Illegal Pole/Spring Trapping,February,2014,SE10,Species involved: Buzzard x 1.,https://raptorpersecutionscotland.wordpress.com/2014/04/04/fatally-injured-spring-trapped-buzzard-west-yorks-police-appeal-for-info/,ENGLAND,{2CCFC36D-9808-4FF3-8BE2-EE59AE7AD726},67271.4902869194,282840280.864252
7414,95341,NORTH LANARKSHIRE,Poisoning,February,2011,NS75,Species involved: Peregrine falcon x 1. Tested positive for: Strychnine.,No Link,SCOTLAND,{733BA624-C3FA-4C39-8508-705F3C581132},71038.3504110675,315402385.565544
7415,95324,SUFFOLK,Poisoning,May,2012,TM37,Species involved: Buzzard x 1. Tested positive for: Alphachloralose.,No Link,ENGLAND,{530EB2DA-B59A-4EA5-8B20-5DF99B8A2CCA},65368.456491097,267064131.690937
7416,100036,WILTSHIRE,Illegal Pole/Spring Trapping,September,2018,SU26,Species involved: Tawny owl x 1.,No Link,ENGLAND,{C949BE92-BF3C-43DE-8956-4C7A5C8F7A6B},64067.944256032,256543279.64559
7417,91104,HAMPSHIRE,Poisoning,November,2008,SU42,Species involved: Red kite x 1. Tested positive for: Carbofuran.,No Link,ENGLAND,{3797050E-BCCE-4144-84C7-EFD1BE19E4D0},63569.4893537093,252566933.51926
7418,101996,DUMFRIES AND GALLOWAY,Poisoning,February,2020,NX86,Species targeted: Birds of prey. Bread (poison bait) x 5. Tested positive for: Withheld.,https://www.heraldscotland.com/news/18371138.man-charged-deaths-birds-prey-dumfries-galloway/,SCOTLAND,{79C6E195-DADB-49A0-8013-23E66765E252},69614.5134250866,302885718.893692
7419,100722,PERTH AND KINROSS,Shooting,October,2008,NO23,Species involved: Buzzard x 1.,No Link,SCOTLAND,{F99B56D2-151A-4534-BAE7-0DC80A6D06C6},72401.2481663941,327620723.587036
7420,96501,BUCKINGHAMSHIRE,Poisoning,February,2013,SU79,Species involved: Red kite x 1. Tested positive for: Alphachloralose.,No Link,ENGLAND,{261793FE-466E-498B-B0A2-8222C0B2C960},64436.2953416403,259501697.919127
7421,96395,NORFOLK,PersecutionOther,April,2013,TG03,Species targeted: Birds of prey. Possession of: Mevinphos/phosdrin. Stored aldicarb also found.,https://ww2.rspb.org.uk/community/ourwork/b/investigations/archive/2014/11/06/how-bad-does-it-have-to-get.aspx,ENGLAND,{B2BCCD64-DFB5-4842-8F36-3551EDF64322},66201.8898705566,273917578.710696
7422,88971,HIGHLAND,Poisoning,January,2008,NJ02,Species involved: Buzzard x 1. Tested positive for: Carbofuran.,No Link,SCOTLAND,{87C04A04-6983-4A4F-9062-E3266C297770},73968.6072722126,341959095.678979
7423,100213,TYRONE,Poisoning,July,2018,H27,"Species involved: Peregrine falcon x 1; poison bait (pigeon) x 1. Tested positive for: Carbofuran.",https://www.bbc.co.uk/news/uk-northern-ireland-foyle-west-45024707 ,NORTHERN IRELAND,{71BCEF48-EE88-432D-95AF-2704CF0A969B},69010.4208150606,297651828.086554
7424,102614,WEST SUSSEX,Poisoning,October,2021,SU91,Species involved: White tailed eagle x 1. Tested positive for: Bendiocarb.,No Link,ENGLAND,{402ABAE0-9415-49E3-9DAF-525884C69FE7},63433.5010392633,251487499.872193
7425,101295,DENBIGHSHIRE,Poisoning,September,2019,SJ04,Species targeted: Birds of prey. Species involved: Poison bait (rabbit) x 1. Tested positive for: Oxamyl.,No Link,WALES,{56620DBF-F383-4770-944B-476B3AED8F4A},66412.3736176649,275662152.660606
7426,101715,WILTSHIRE,PersecutionOther,August,2020,SU06,Species involved: Buzzard x 1. ,https://community.rspb.org.uk/ourwork/b/investigations/posts/community-order-for-gamekeeper-after-birds-of-prey-found-down-wiltshire-well,ENGLAND,{358046D3-C097-4576-AD57-B8BE9747AB6A},64069.143370925,256552882.879002
7427,101238,NORTH YORKSHIRE,Poisoning,April,2020,SE44,"Species involved: Peregrine falcon x 2. Tested positive for: Bendiocarb, alphachloralose, carbofuran. ",https://community.rspb.org.uk/ourwork/b/investigations/posts/two-poisoned-peregrines-added-to-lockdown-crime-list,ENGLAND,{697268F5-9516-476B-9CDF-BFD2CF556130},67842.0248355835,287658213.571587
7428,98191,OXFORDSHIRE,Shooting,March,2016,SU68,Species involved: Red kite x 1.,https://tinyurl.com/4acewab4,ENGLAND,{56DE76FD-FAD5-4F2F-A082-ADCA39FD35F4},64312.3553736082,258504378.605535
7429,90911,HEREFORDSHIRE,Shooting,August,2008,SO54,Species involved: Hobby x 1.,No Link,ENGLAND,{AF6E2A9D-DDDC-47D2-B25A-1A00725615FD},65087.7849049963,264775674.178227
7430,89407,SHROPSHIRE,Shooting,May,2007,SO38,Species involved: Buzzard x 1.,No Link,ENGLAND,{1FC43743-5900-4B00-9F7F-7CAE4258A483},65610.6516980438,269046792.232735
7431,93542,DERBYSHIRE,Illegal Trapping (Other),May,2010,SK19,Species targeted: Goshawk.,No Link,ENGLAND,{B8A89B4C-997B-4A60-867F-0FD94C832617},67129.7178405525,281649381.597783
7432,100895,STAFFORDSHIRE,PersecutionOther,December,2019,SK10,Species involved: Peregrine falcon x 1.,No Link,ENGLAND,{1FFE914B-B2ED-4E33-B7E6-7382EDEC08D8},65887.4175649451,271321429.029106
7433,94667,COUNTY DURHAM,Shooting,November,2011,NZ35,Species involved: Barn owl x 1.,No Link,ENGLAND,{FCF6F8F6-7EBC-417F-BFB7-B012D3C8A5B1},69490.8892741627,301810920.855603
7434,89656,ANGUS,Poisoning,May,2008,NO46,"Species targeted: Birds of prey. Species involved: Posion bait (hare) x 1; poison bait (meat) x 4. Tested positive for: Bendiocarb, carbofuran, isofenphos.",No Link,SCOTLAND,{E15EDED1-52CA-49DD-B1B3-DAD4D4FE6457},72925.801468031,332385207.065319
7435,92668,PERTH AND KINROSS,PersecutionOther,April,2009,NN85,Species targeted: Birds of prey. Possession of: Alphachloralose.,No Link,SCOTLAND,{12CD8323-2D6E-4F0F-B43B-1A4C57D685B1},72722.3629557887,330533304.688859
7436,98187,GLOUCESTERSHIRE,Shooting,April,2016,SO50,Species involved: Goshawk x 1.,https://raptorpersecutionscotland.wordpress.com/2016/04/25/goshawk-suffers-shotgun-injuries-to-head/,ENGLAND,{0A533D80-DA0A-4A31-B851-4820E202418B},64571.1086953521,260588693.610391
7437,97069,ESSEX,Shooting,March,2015,TQ67,Species involved: Buzzard x 1.,No Link,ENGLAND,{F86A1AF2-B510-4AD7-A41E-F039A5627FF7},64139.7189959082,257118407.892866
7438,90414,NORTH YORKSHIRE,Poisoning,November,2008,SE06,Species involved: Red kite x 1. Tested positive for: Alphachloralose.,No Link,ENGLAND,{2FEE7C4B-5936-4741-9B27-3D25DBF281C1},68138.9243574141,290181505.876782
7439,92122,HIGHLAND,Poisoning,March,2009,NH58,Species involved: Buzzard x 1. Tested positive for: Alphachloralose.,No Link,SCOTLAND,{6F0D0464-320B-4333-8151-E276F7B12CF3},75028.4656049862,351828822.853045
7440,102098,BEDFORDSHIRE,Poisoning,January,2020,SP92,Species involved: Red kite x 1. Tested positive for: Alphachloralose. ,No Link,ENGLAND,{D2823796-E791-46FB-82A8-F36FE71B8F52},64813.5608822672,262549293.685366
7441,98757,NORTH YORKSHIRE,Illegal Pole/Spring Trapping,Unknown,2016,SD88,Species involved: Falcon species x 1.,http://www.rspb.org.uk/community/ourwork/b/investigations/archive/2016/06/01/proceed-with-caution.aspx,ENGLAND,{D5F0C4AA-9DAE-4A54-8484-F7641AD664EC},68433.768964319,292698238.146283
7442,89406,SHROPSHIRE,Shooting,May,2007,SO38,Species involved: Buzzard x 1.,No Link,ENGLAND,{5DD57DFA-1110-4DA6-8B8F-6037745E8ACB},65610.6516980438,269046792.232735
7443,93056,HERTFORDSHIRE,Shooting,June,2010,SP81,Species involved: Red kite x 1.,No Link,ENGLAND,{15C71194-2FAA-422A-8620-51F59A9D9492},64688.5452767895,261537431.912424
7444,98109,FIFE,PersecutionOther,February,2015,NT29,Species involved: Sparrowhawk x 1.,No Link,SCOTLAND,{23BD3D9C-EF29-4FE5-BCB6-2B178DBCD62A},71725.9169707597,321537379.092464
7445,96077,CAMBRIDGESHIRE,Poisoning,April,2013,TF30,Species involved: Marsh harrier x 2. Tested positive for: Aldicarb.,No Link,ENGLAND,{78B92CFC-2743-44E2-8770-7D879BEBEBFB},65848.0786616873,270997532.247382
7446,103120,NORFOLK,Illegal Pole/Spring Trapping,January,2020,TG22,Species involved: Buzzard x 1,No Link,ENGLAND,{4748C7B7-6B6B-4173-8898-535E07EB976A},66046.9254045033,272636711.305932
7447,100364,PERTH AND KINROSS,Illegal Pole/Spring Trapping,November,2018,NN84,Species involved: Hen harrier x 1.,https://www.rspb.org.uk/about-the-rspb/about-us/media-centre/press-releases/young-hen-harrier-killed-by-illegal-trap-on-perthshire-grouse-moor/ ,SCOTLAND,{D79E06CE-D6D8-475D-AAF7-CDB4B56C4BF5},72550.2529115543,328970625.962922
7448,95576,LANCASHIRE,Shooting,January,2013,SD42,Species involved: Peregrine falcon x 1.,No Link,ENGLAND,{5CE9AE19-D9B6-4A90-BA1A-837D4D664F59},67550.6955211601,285192971.878017
7449,94228,COUNTY DURHAM,Shooting,August,2011,NY91,Species involved: Marsh harrier x 1.,No Link,ENGLAND,{E0A4E18D-78B4-4025-8AD4-8313CE17C6AC},68883.407668384,296557182.27027
7450,98861,PERTH AND KINROSS,PersecutionOther,May,2016,NN84,Species involved: Golden eagle x 1.,https://tinyurl.com/ubfpfbvs,SCOTLAND,{3614C90A-45D1-4999-81E8-67A45CF5FCA8},72550.2529115543,328970625.962922
7451,88638,NORTHUMBERLAND,Shooting,April,2007,NT93,Species involved: Buzzard x 1.,No Link,ENGLAND,{0B912BB3-F519-4028-8C2C-2BA7DC998C26},70756.6481111736,312905889.299428
7452,100433,NORTHUMBERLAND,Illegal Trapping (Other),April,2019,NU02,Species involved: Buzzard x 1. ,No Link,ENGLAND,{2C887689-4C13-4E9F-B108-1ACC203351E5},70595.6969655474,311483963.560447
7453,95356,STIRLING,Illegal Pole/Spring Trapping,May,2012,NS68,Species targeted: Birds of prey.,No Link,SCOTLAND,{56827748-1B7D-4BE4-8F60-2DD750A9B65D},71524.1045294404,319730526.86429
7454,101896,LINCOLNSHIRE,PersecutionOther,March,2021,TF22,Species targeted: Birds of Prey. Possession of: Withheld.,https://raptorpersecutionuk.org/2021/04/20/lincolnshire-police-provide-update-on-investigation-into-poisoned-red-kite/,ENGLAND,{72FB1B71-26A7-4D11-B220-A23738A8F676},66124.275840353,273275682.302251
7455,88472,WEST YORKSHIRE,Nest Destruction,April,2007,SE00,Species involved: Peregrine falcon nest.,No Link,ENGLAND,{858C440E-EC60-4979-9081-0138A90A24D4},67271.9514146353,282844158.483703
7456,94286,TORFAEN,Illegal Trapping (Other),June,2011,SO20,Species involved: Peregrine falcon x 1.,No Link,WALES,{993F570A-FB94-483E-A344-2E5F19137640},64563.6740095968,260528688.593446
7457,94399,SUFFOLK,Shooting,November,2011,TM45,Species involved: Barn owl x 1.,No Link,ENGLAND,{1BB3F7BD-337C-44CA-83F2-E1B298F5D7ED},65095.8680872613,264841439.429995
7458,100405,HIGHLAND,Illegal Trapping (Other),October,2018,NH73,Species involved: Buzzard x 1.,https://raptorpersecutionscotland.wordpress.com/2018/10/25/buzzard-caught-in-illegally-set-trap-near-moy/,SCOTLAND,{BEA38710-2E83-446C-AAA6-5DE83DB97D56},74128.4084733838,343438223.981425
